Station,Produit,N_commandes,Total_litres,Moyenne_mensuelle,Fréquence_jours,ADF_pvalue,Stationnaire,AIC,Modele_AR,Modele_I,Modele_MA,Modele_SAR,Modele_SI,Modele_SMA,Volume,Profil
ST0075,A0002,57,345000,9324.324324324325,19.5,0.996297315253188,False,770.9272310187254,0,0,0,0,0,0,Très faible,Basse activité
ST0076,A0001,59,387000,12483.870967741936,15.706896551724139,0.00021354275372048332,True,640.290027212158,0,1,1,1,0,0,Très faible,Basse activité
ST0076,A0002,62,390000,12580.645161290322,15.049180327868852,6.168222683281359e-08,True,633.9261063882834,0,0,0,0,0,1,Très faible,Basse activité
ST0077,A0001,27,121000,5260.869565217391,26.53846153846154,0.7322518114241223,False,463.6126504310711,0,0,0,0,0,0,Très faible,Basse activité
ST0078,A0001,178,1391000,19319.444444444445,12.259887005649718,0.06041976230634775,False,1518.0378685908067,0,1,1,0,0,0,Moyen,Standard
ST0078,A0002,205,2159000,30408.450704225354,10.504901960784315,0.016153421545858308,True,1562.9641826322982,1,1,1,0,0,0,Moyen,Standard
ST0079,A0001,51,202000,2845.0704225352115,42.8,1.7945393549532077e-19,True,1390.931419587153,1,0,0,0,0,0,Très faible,Basse activité
ST0079,A0002,98,1398000,19416.666666666668,22.422680412371133,1.5988048055965477e-05,True,1610.2995212038466,1,1,1,0,0,0,Moyen,Standard
ST0080,A0001,287,1160000,18709.677419354837,6.559440559440559,6.008085255708842e-05,True,1271.768871087163,1,0,0,0,0,0,Moyen,Standard
ST0080,A0002,197,686000,11064.516129032258,9.566326530612244,6.819602348279619e-09,True,1244.649567306405,0,0,0,0,0,0,Faible,Standard
ST0081,A0001,103,629000,12096.153846153846,15.215686274509803,0.020006721239787077,True,1046.2528968749161,0,1,1,0,0,1,Faible,Standard
ST0081,A0002,173,1426000,27423.076923076922,9.005813953488373,0.1991010757079988,False,1114.5705470364103,0,1,0,0,0,0,Moyen,Standard
ST0082,A0001,87,792000,29333.333333333332,9.36046511627907,0.4681674401221342,False,592.5926612499319,0,0,1,0,0,1,Faible,Standard
ST0082,A0002,71,632000,23407.40740740741,11.5,0.758386751834507,False,573.6938384023003,0,1,1,1,0,0,Faible,Standard
ST0083,A0001,223,1628000,26258.064516129034,8.387387387387387,0.021763282652318982,True,1336.986223885906,1,0,0,0,0,0,Moyen,Standard
ST0083,A0002,257,1946000,31387.09677419355,7.2734375,0.13587559653096487,False,1348.865016606585,0,1,1,0,0,0,Moyen,Standard
ST0084,A0001,485,6111000,142116.27906976745,2.690082644628099,0.0004422890145146131,True,1007.4611783360403,1,0,0,0,0,0,Élevé,Haute activité stable
ST0084,A0002,226,2318000,53906.976744186046,5.786666666666667,2.0272242316328246e-05,True,937.7435479357531,0,0,1,0,0,0,Moyen,Standard
ST0085,A0001,187,916000,12901.408450704226,11.53763440860215,0.00032285699250609614,True,1459.2390054290101,1,0,0,0,0,0,Faible,Standard
ST0085,A0002,190,967000,13619.718309859154,11.354497354497354,0.040864570527979385,True,1440.0588633257184,0,0,0,0,0,0,Faible,Standard
ST0086,A0001,29,151000,8882.35294117647,17.392857142857142,0.12125374906581027,False,inf,1,0,1,1,0,0,Très faible,Basse activité
ST0086,A0002,49,293000,17235.29411764706,10.5625,0.3972524637102678,False,inf,1,0,1,1,0,0,Très faible,Basse activité
ST0087,A0001,232,1099000,26166.666666666668,5.5021645021645025,0.06616391526424623,False,925.1100223430286,1,0,0,0,0,0,Moyen,Standard
ST0087,A0002,119,507000,12071.42857142857,10.771186440677965,0.7292098078974655,False,864.3352052995325,2,0,0,0,0,0,Faible,Standard
ST0089,A0001,30,159000,9937.5,16.413793103448278,0.7678713457372988,False,inf,1,0,1,1,0,0,Très faible,Basse activité
ST0090,A0002,25,140000,10000.0,16.916666666666668,0.80552235407343,False,inf,1,0,1,1,0,0,Très faible,Basse activité
ST0091,A0001,86,364000,5687.5,22.435294117647057,0.008644574537356314,True,1303.0838413188537,1,0,0,0,0,0,Très faible,Basse activité
ST0091,A0002,84,929000,14075.757575757576,23.795180722891565,0.5964950668325764,False,1408.3350087058418,0,1,1,2,0,1,Faible,Standard
ST0092,A0001,40,151000,3355.5555555555557,34.30769230769231,0.21547710759997207,False,826.2062812828909,0,1,2,0,0,0,Très faible,Basse activité
ST0092,A0002,138,2082000,30173.91304347826,15.02919708029197,0.519947941589639,False,1544.8088782858758,2,1,2,0,0,0,Moyen,Standard
ST0093,A0001,467,3625000,51785.71428571428,4.547210300429184,0.8086113125333876,False,1523.246678291627,0,1,0,0,0,0,Moyen,Standard
ST0093,A0002,286,1366000,19514.285714285714,7.463157894736842,0.0012187615001311234,True,1478.0741362643232,1,1,1,0,0,0,Moyen,Standard
ST0094,A0002,71,2997000,74925.0,17.15714285714286,0.0007134997634518741,True,1004.8048667910233,0,0,1,0,0,0,Moyen,Standard
ST0095,A0001,51,456000,28500.0,9.28,0.944342917705392,False,inf,1,0,1,1,0,0,Très faible,Basse activité
